,sampleID,Variable,value,Unit,AdjunctCulture,Age[d],Experiment,MilkTreatment,Prefix,SampleNumber,SampleType,Season,Semester,SubExperiment,Trial,production_date,variable
0,EH_301_cheese_24h,Citric acid,4.1,mmol/kg,None,1,Liebefeld,raw,,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,Citric_acid_[mmol/kg]
1,EH_301_cheese_24h,D-lactic acid,0.0,mmol/kg,None,1,Liebefeld,raw,,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,D-lactic_acid_[mmol/kg]
2,EH_301_cheese_24h,Dry loss,446.0,g/kg,None,1,Liebefeld,raw,,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_loss_[g/kg]
4,EH_301_cheese_24h,Dry matter,54.19,g/100g,None,1,Liebefeld,raw,None,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_matter
5,EH_301_cheese_24h,L-Lactic acid,165.3,mmol/kg,None,1,Liebefeld,raw,,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_[mmol/kg]
6,EH_301_cheese_24h,L-Lactic acid proportion of TLA,100.0,%,None,1,Liebefeld,raw,,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_proportion_of_TLA_[%]
7,EH_301_cheese_24h,L-leucine aminopeptidase (LAP),0.0,IU/kg,None,1,Liebefeld,raw,,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-leucine_aminopeptidase_(LAP)_[IU/kg]
8,EH_301_cheese_24h,Lactic acid (total),165.3,mmol/kg,None,1,Liebefeld,raw,,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,Lactic_acid_(total)_[mmol/kg]
9,EH_301_cheese_24h,pH value,4.95,None,None,1,Liebefeld,raw,None,301,cheese,spring,summer,3.1,20-22-83,2022-05-04,pH value
10,EH_302_cheese_24h,Citric acid,4.4,mmol/kg,None,1,Liebefeld,therm.,,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,Citric_acid_[mmol/kg]
11,EH_302_cheese_24h,D-lactic acid,0.0,mmol/kg,None,1,Liebefeld,therm.,,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,D-lactic_acid_[mmol/kg]
12,EH_302_cheese_24h,Dry loss,450.0,g/kg,None,1,Liebefeld,therm.,,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_loss_[g/kg]
14,EH_302_cheese_24h,Dry matter,54.19,g/100g,None,1,Liebefeld,therm.,None,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_matter
15,EH_302_cheese_24h,L-Lactic acid,158.9,mmol/kg,None,1,Liebefeld,therm.,,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_[mmol/kg]
16,EH_302_cheese_24h,L-Lactic acid proportion of TLA,100.0,%,None,1,Liebefeld,therm.,,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_proportion_of_TLA_[%]
17,EH_302_cheese_24h,L-leucine aminopeptidase (LAP),0.0,IU/kg,None,1,Liebefeld,therm.,,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-leucine_aminopeptidase_(LAP)_[IU/kg]
18,EH_302_cheese_24h,Lactic acid (total),158.9,mmol/kg,None,1,Liebefeld,therm.,,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,Lactic_acid_(total)_[mmol/kg]
19,EH_302_cheese_24h,pH value,4.96,None,None,1,Liebefeld,therm.,None,302,cheese,spring,summer,3.1,20-22-83,2022-05-04,pH value
20,EH_303_cheese_24h,Citric acid,3.4,mmol/kg,eRM.y ,1,Liebefeld,raw,,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,Citric_acid_[mmol/kg]
21,EH_303_cheese_24h,D-lactic acid,1.8,mmol/kg,eRM.y ,1,Liebefeld,raw,,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,D-lactic_acid_[mmol/kg]
22,EH_303_cheese_24h,Dry loss,449.0,g/kg,eRM.y ,1,Liebefeld,raw,,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_loss_[g/kg]
24,EH_303_cheese_24h,Dry matter,53.78,g/100g,eRM.y ,1,Liebefeld,raw,None,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_matter
25,EH_303_cheese_24h,L-Lactic acid,153.3,mmol/kg,eRM.y ,1,Liebefeld,raw,,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_[mmol/kg]
26,EH_303_cheese_24h,L-Lactic acid proportion of TLA,98.9,%,eRM.y ,1,Liebefeld,raw,,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_proportion_of_TLA_[%]
27,EH_303_cheese_24h,L-leucine aminopeptidase (LAP),0.0,IU/kg,eRM.y ,1,Liebefeld,raw,,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-leucine_aminopeptidase_(LAP)_[IU/kg]
28,EH_303_cheese_24h,Lactic acid (total),155.1,mmol/kg,eRM.y ,1,Liebefeld,raw,,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,Lactic_acid_(total)_[mmol/kg]
29,EH_303_cheese_24h,pH value,4.98,None,eRM.y ,1,Liebefeld,raw,None,303,cheese,spring,summer,3.1,20-22-83,2022-05-04,pH value
30,EH_304_cheese_24h,Citric acid,3.6,mmol/kg,eRM.H.y,1,Liebefeld,raw,,304,cheese,spring,summer,3.1,20-22-83,2022-05-04,Citric_acid_[mmol/kg]
31,EH_304_cheese_24h,D-lactic acid,1.8,mmol/kg,eRM.H.y,1,Liebefeld,raw,,304,cheese,spring,summer,3.1,20-22-83,2022-05-04,D-lactic_acid_[mmol/kg]
32,EH_304_cheese_24h,Dry loss,457.0,g/kg,eRM.H.y,1,Liebefeld,raw,,304,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_loss_[g/kg]
33,EH_304_cheese_24h,L-Lactic acid,154.8,mmol/kg,eRM.H.y,1,Liebefeld,raw,,304,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_[mmol/kg]
34,EH_304_cheese_24h,L-Lactic acid proportion of TLA,98.9,%,eRM.H.y,1,Liebefeld,raw,,304,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_proportion_of_TLA_[%]
35,EH_304_cheese_24h,L-leucine aminopeptidase (LAP),0.0,IU/kg,eRM.H.y,1,Liebefeld,raw,,304,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-leucine_aminopeptidase_(LAP)_[IU/kg]
36,EH_304_cheese_24h,Lactic acid (total),156.6,mmol/kg,eRM.H.y,1,Liebefeld,raw,,304,cheese,spring,summer,3.1,20-22-83,2022-05-04,Lactic_acid_(total)_[mmol/kg]
37,EH_305_cheese_24h,Citric acid,3.4,mmol/kg,eRM.HS.y,1,Liebefeld,raw,,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,Citric_acid_[mmol/kg]
38,EH_305_cheese_24h,D-lactic acid,0.0,mmol/kg,eRM.HS.y,1,Liebefeld,raw,,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,D-lactic_acid_[mmol/kg]
39,EH_305_cheese_24h,Dry loss,447.0,g/kg,eRM.HS.y,1,Liebefeld,raw,,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_loss_[g/kg]
41,EH_305_cheese_24h,Dry matter,54.25,g/100g,eRM.HS.y,1,Liebefeld,raw,None,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,Dry_matter
42,EH_305_cheese_24h,L-Lactic acid,153.1,mmol/kg,eRM.HS.y,1,Liebefeld,raw,,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_[mmol/kg]
43,EH_305_cheese_24h,L-Lactic acid proportion of TLA,100.0,%,eRM.HS.y,1,Liebefeld,raw,,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-Lactic_acid_proportion_of_TLA_[%]
44,EH_305_cheese_24h,L-leucine aminopeptidase (LAP),0.0,IU/kg,eRM.HS.y,1,Liebefeld,raw,,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,L-leucine_aminopeptidase_(LAP)_[IU/kg]
45,EH_305_cheese_24h,Lactic acid (total),153.1,mmol/kg,eRM.HS.y,1,Liebefeld,raw,,305,cheese,spring,summer,3.1,20-22-83,2022-05-04,Lactic_acid_(total)_[mmol/kg]
