,sampleID,Variable,value,Unit,AdjunctCulture,Age[d],Experiment,MilkTreatment,Prefix,SampleNumber,SampleType,Season,Semester,SubExperiment,Trial,production_date,variable
0,EH_301_vatmilk_0h,Butyric spores,1.724275869600789,log Spor./l,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Butyric_spores
1,EH_301_vatmilk_0h,Coag pos Staph,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Coag_pos_Staph
2,EH_301_vatmilk_0h,E coli,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,E_coli
3,EH_301_vatmilk_0h,Enterobacteriaceae,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterobacteriaceae
4,EH_301_vatmilk_0h,Enterococci,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterococci
5,EH_301_vatmilk_0h,Fac heteroferm,1.0,log CFU/g,None,0,Liebefeld,raw,None,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Fac_heteroferm
6,EH_301_vatmilk_0h,Lactobacilli,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Lactobacilli
7,EH_301_vatmilk_0h,Mesophilic aerobic total,4.146128035678238,log CFU/g,None,0,Liebefeld,raw,None,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Mesophilic_aerobic_total
8,EH_301_vatmilk_0h,Moulds,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Moulds
9,EH_301_vatmilk_0h,PAB,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,PAB
10,EH_301_vatmilk_0h,Salt tolerant,3.544068044350276,log CFU/g,None,0,Liebefeld,raw,None,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Salt_tolerant
11,EH_301_vatmilk_0h,Spores,1.724275869600789,log Spor./l,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Spores
12,EH_301_vatmilk_0h,Streptococci,3.204119982655925,log CFU/g,None,0,Liebefeld,raw,None,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Streptococci
13,EH_301_vatmilk_0h,Yeasts,1.0,log CFU/g,None,0,Liebefeld,raw,<,301,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Yeasts
14,EH_302_vatmilk_0h,Butyric spores,1.724275869600789,log Spor./l,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Butyric_spores
15,EH_302_vatmilk_0h,Coag pos Staph,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Coag_pos_Staph
16,EH_302_vatmilk_0h,E coli,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,E_coli
17,EH_302_vatmilk_0h,Enterobacteriaceae,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterobacteriaceae
18,EH_302_vatmilk_0h,Enterococci,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterococci
19,EH_302_vatmilk_0h,Fac heteroferm,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Fac_heteroferm
20,EH_302_vatmilk_0h,Lactobacilli,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Lactobacilli
21,EH_302_vatmilk_0h,Mesophilic aerobic total,2.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Mesophilic_aerobic_total
22,EH_302_vatmilk_0h,Moulds,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Moulds
23,EH_302_vatmilk_0h,PAB,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,PAB
24,EH_302_vatmilk_0h,Salt tolerant,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Salt_tolerant
25,EH_302_vatmilk_0h,Spores,1.724275869600789,log Spor./l,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Spores
26,EH_302_vatmilk_0h,Streptococci,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Streptococci
27,EH_302_vatmilk_0h,Yeasts,1.0,log CFU/g,None,0,Liebefeld,therm.,<,302,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Yeasts
28,EH_303_vatmilk_0h,Butyric spores,1.724275869600789,log Spor./l,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Butyric_spores
29,EH_303_vatmilk_0h,Coag pos Staph,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Coag_pos_Staph
30,EH_303_vatmilk_0h,E coli,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,E_coli
31,EH_303_vatmilk_0h,Enterobacteriaceae,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterobacteriaceae
32,EH_303_vatmilk_0h,Enterococci,2.845098040014257,log CFU/g,eRM.y ,0,Liebefeld,raw,None,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterococci
33,EH_303_vatmilk_0h,Fac heteroferm,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Fac_heteroferm
34,EH_303_vatmilk_0h,Lactobacilli,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Lactobacilli
35,EH_303_vatmilk_0h,Mesophilic aerobic total,5.079181246047625,log CFU/g,eRM.y ,0,Liebefeld,raw,None,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Mesophilic_aerobic_total
36,EH_303_vatmilk_0h,Moulds,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Moulds
37,EH_303_vatmilk_0h,PAB,1.0,log CFU/g,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,PAB
38,EH_303_vatmilk_0h,Salt tolerant,3.518513939877888,log CFU/g,eRM.y ,0,Liebefeld,raw,None,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Salt_tolerant
39,EH_303_vatmilk_0h,Spores,1.724275869600789,log Spor./l,eRM.y ,0,Liebefeld,raw,<,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Spores
40,EH_303_vatmilk_0h,Streptococci,5.518513939877887,log CFU/g,eRM.y ,0,Liebefeld,raw,None,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Streptococci
41,EH_303_vatmilk_0h,Yeasts,2.176091259055681,log CFU/g,eRM.y ,0,Liebefeld,raw,None,303,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Yeasts
42,EH_304_vatmilk_0h,Butyric spores,1.724275869600789,log Spor./l,eRM.H.y,0,Liebefeld,raw,None,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Butyric_spores
43,EH_304_vatmilk_0h,Coag pos Staph,1.0,log CFU/g,eRM.H.y,0,Liebefeld,raw,<,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Coag_pos_Staph
44,EH_304_vatmilk_0h,E coli,1.0,log CFU/g,eRM.H.y,0,Liebefeld,raw,<,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,E_coli
45,EH_304_vatmilk_0h,Enterobacteriaceae,2.0,log CFU/g,eRM.H.y,0,Liebefeld,raw,<,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterobacteriaceae
46,EH_304_vatmilk_0h,Enterococci,3.57978359661681,log CFU/g,eRM.H.y,0,Liebefeld,raw,None,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Enterococci
47,EH_304_vatmilk_0h,Fac heteroferm,1.0,log CFU/g,eRM.H.y,0,Liebefeld,raw,<,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Fac_heteroferm
48,EH_304_vatmilk_0h,Lactobacilli,1.0,log CFU/g,eRM.H.y,0,Liebefeld,raw,<,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Lactobacilli
49,EH_304_vatmilk_0h,Mesophilic aerobic total,5.113943352306837,log CFU/g,eRM.H.y,0,Liebefeld,raw,None,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Mesophilic_aerobic_total
50,EH_304_vatmilk_0h,Moulds,1.0,log CFU/g,eRM.H.y,0,Liebefeld,raw,<,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,Moulds
51,EH_304_vatmilk_0h,PAB,1.0,log CFU/g,eRM.H.y,0,Liebefeld,raw,<,304,vatmilk,spring,summer,3.1,20-22-83,2022-05-04,PAB
